Checkpoint,reference_2019_09_01,reference_2019_09_02,reference_2019_09_03,reference_2019_09_04,reference_2019_09_05,reference_2019_09_06,reference_2019_09_07,reference_2019_09_08,reference_2019_09_09,reference_2019_09_10,reference_2019_09_11,reference_2019_09_12,reference_2019_09_13,reference_2019_09_14,reference_2019_09_15,reference_2019_09_16,reference_2019_09_17,reference_2019_09_18,reference_2019_09_19,reference_2019_09_20,reference_2019_09_21,reference_2019_09_22,reference_2019_09_23,reference_2019_09_24,reference_2019_09_25,reference_2021_09_01,reference_2021_09_02,reference_2021_09_03,reference_2021_09_04,reference_2021_09_05,reference_2021_09_06,reference_2021_09_07,reference_2021_09_08,reference_2021_09_09,reference_2021_09_10,reference_2021_09_11,reference_2021_09_12,reference_2021_09_13,reference_2021_09_14,reference_2021_09_15,reference_2021_09_16,reference_2021_09_17,reference_2021_09_18,reference_2021_09_19,reference_2021_09_20,reference_2021_09_21,reference_2021_09_22,reference_2021_09_23,reference_2021_09_24,reference_2021_09_25,reference_2022_09_01,reference_2022_09_02,reference_2022_09_03,reference_2022_09_04,reference_2022_09_05,reference_2022_09_06,reference_2022_09_07,reference_2022_09_08,reference_2022_09_09,reference_2022_09_10,reference_2022_09_11,reference_2022_09_12,reference_2022_09_13,reference_2022_09_14,reference_2022_09_15,reference_2022_09_16,reference_2022_09_17,reference_2022_09_18,reference_2022_09_19,reference_2022_09_20,reference_2022_09_21,reference_2022_09_22,reference_2022_09_23,min_msl_Ian,reference_2022_09_25
1,13.171640625,1.18359375,1.87453125,4.36546875,4.332421875,4.59734375,0.044921875,1.727578125,1.229453125,3.468515625,11.150078125,24.055,8.032265625,1.7021875,1.43125,1.511015625,3.248671875,2.591796875,1.43734375,0.63359375,0.465625,0.773046875,2.345703125,0.545625,0.754921875,0.717890625,1.545703125,0.46375,3.97984375,6.2225,0.765859375,2.845625,4.249375,3.033125,0.7021875,4.165703125,0.837265625,0.7915625,0.285,1.277109375,0.9215625,0.5646875,2.092265625,0.328125,0.735859375,1.373046875,3.30984375,2.41921875,0.281171875,1.336171875,1.24984375,3.884765625,1.441015625,3.457578125,3.584140625,1.598125,5.41828125,2.306015625,4.145,5.88171875,5.559921875,3.6646875,0.49078125,4.926328125,0.15546875,6.114453125,9.9715625,9.24859375,0.953125,0.856328125,0.99046875,4.23265625,26.05953125,22.532109375,23.43734375
2,10.4909375,3.138046875,4.827578125,6.648046875,10.70609375,7.757109375,3.7728125,0.053984375,0.36109375,2.787890625,10.436171875,23.24765625,4.228671875,0.421484375,1.20625,2.842578125,4.053203125,8.518203125,2.1234375,1.925390625,0.2090625,0.33,1.181171875,3.46515625,4.76109375,7.418359375,13.560625,3.84265625,1.046796875,2.637109375,4.378203125,5.7896875,5.92203125,5.70296875,3.032578125,1.775625,0.648046875,2.58828125,2.102578125,2.169140625,5.209375,5.386484375,1.300078125,1.68,3.517890625,5.750078125,6.82859375,5.34734375,4.976015625,4.1178125,4.037109375,6.85125,2.771875,0.58515625,0.76375,4.9828125,6.315625,3.3203125,6.1221875,7.912265625,5.539296875,1.342109375,0.376015625,2.619453125,1.479921875,4.770234375,7.71328125,5.9934375,2.563515625,1.39359375,1.67921875,2.840234375,26.971328125,21.31984375,21.499453125
3,16.659296875,2.816640625,23.74859375,27.854375,32.502734375,21.109375,11.22421875,3.021328125,5.3190625,9.187734375,16.127265625,27.32640625,8.270234375,4.898828125,4.95125,1.70578125,1.22734375,14.82578125,11.83671875,3.3290625,3.9378125,4.220390625,3.828125,0.83796875,1.615546875,2.70984375,5.83578125,1.3978125,5.93640625,4.015859375,2.313515625,1.851640625,2.742578125,2.11359375,0.190625,6.88703125,4.169765625,1.727265625,2.119765625,3.197265625,0.763671875,0.712890625,5.522734375,4.69828125,2.161484375,1.8678125,1.184140625,1.61234375,1.9528125,3.10375,1.058984375,1.461796875,3.71609375,7.736953125,7.26421875,1.00140625,1.179375,2.36953125,1.47296875,1.515625,0.75890625,3.2453125,3.8428125,1.742578125,3.0075,8.929921875,12.846171875,9.982421875,1.5509375,2.61203125,2.6234375,6.30203125,30.49734375,27.779765625,26.204375
4,5.073515625,9.67421875,26.12078125,27.38796875,21.901640625,6.631796875,0.49671875,1.812421875,2.52328125,5.140546875,13.172109375,25.80078125,2.636640625,2.81765625,5.704921875,3.068671875,3.8384375,1.22484375,0.51828125,1.13875,2.673515625,2.00234375,4.76671875,1.04859375,2.53859375,1.5109375,3.461640625,1.098828125,5.014140625,5.754296875,1.4428125,3.16328125,2.855390625,2.9465625,0.3734375,2.277265625,1.77390625,2.7871875,0.98046875,1.1834375,3.61953125,0.459375,5.5709375,5.1853125,0.510703125,1.435390625,1.641640625,1.220390625,0.811875,0.79765625,2.17546875,3.699609375,2.047109375,6.581484375,4.432265625,0.5871875,2.435390625,1.73515625,2.54203125,4.544140625,1.15234375,2.41203125,3.24328125,0.11875,0.01125,5.101875,8.939140625,7.226171875,2.8903125,2.319609375,3.87203125,3.542265625,29.260234375,6.75828125,25.402734375
5,12.766484375,2.055390625,6.384140625,5.53859375,5.84890625,4.685546875,7.102578125,3.0903125,4.275078125,8.586875,15.662890625,25.775546875,1.901484375,4.610625,3.45484375,0.31890625,2.329609375,26.982890625,39.090390625,1.53203125,3.123828125,3.6609375,0.30875,3.1759375,3.00578125,1.695859375,0.3225,0.969921875,5.612265625,5.02515625,2.90296875,3.101640625,3.7434375,5.038984375,0.5734375,4.416171875,1.8646875,0.561875,2.803671875,2.891640625,0.23125,0.182890625,4.113125,3.648125,1.544296875,0.906328125,1.076015625,0.43171875,0.4728125,1.1828125,2.281015625,3.279140625,2.756640625,7.110390625,4.021015625,2.081171875,4.35140625,0.405,2.479765625,2.1428125,0.683125,2.500390625,2.09515625,0.111875,2.875078125,8.000546875,11.423671875,8.302578125,0.114609375,1.631328125,1.961484375,6.166484375,29.185703125,18.164609375,24.885234375
6,14.42625,0.134453125,5.408984375,28.583125,12.524375,5.76546875,3.161328125,2.070390625,0.72140625,7.78953125,16.45796875,26.63984375,7.9115625,2.40921875,5.253828125,2.460859375,1.166171875,0.64328125,30.813515625,1.796640625,4.91171875,5.327890625,3.318125,3.527578125,6.242734375,1.22,2.90015625,1.499765625,2.6684375,8.33734375,1.206171875,0.06859375,3.60234375,5.598046875,1.49953125,6.30546875,3.959296875,2.06390625,3.823359375,3.47296875,0.189765625,1.505859375,7.124453125,5.19171875,3.66421875,3.30859375,2.698515625,0.740859375,0.291015625,0.220859375,0.0225,0.879140625,5.89625,8.153671875,5.631015625,0.406328125,1.034609375,1.226796875,0.7825,2.152890625,1.193984375,1.938203125,1.865703125,0.544921875,3.033046875,9.04609375,12.91828125,9.803671875,1.19875,2.3546875,0.54375,25.029765625,9.95484375,24.170703125,26.904296875
7,12.493515625,2.0159375,6.15109375,13.856875,5.761796875,5.74734375,4.498203125,1.664453125,2.21078125,6.58859375,14.300546875,23.8828125,5.758125,1.4678125,2.268046875,1.25140625,4.436171875,6.808671875,0.41,0.45203125,2.30609375,4.251484375,1.722578125,3.176875,6.30453125,0.83859375,0.66765625,0.606640625,3.713671875,4.052109375,3.40984375,3.969765625,5.14390625,3.421875,1.49953125,4.300703125,1.695078125,0.550859375,0.50375,0.415078125,4.093125,1.97,4.426875,2.903203125,0.463984375,0.2725,1.587734375,3.211640625,2.661171875,2.19734375,2.7634375,4.3475,1.3378125,7.133671875,4.2509375,1.764140625,1.996640625,3.90765625,4.8228125,1.829921875,0.779765625,0.6103125,0.74953125,3.1853125,1.058671875,5.53390625,10.377109375,7.036875,1.333828125,2.784921875,1.721484375,10.89328125,20.664453125,16.734140625,23.09828125
8,7.36859375,22.257265625,29.118984375,10.456640625,5.92578125,3.891328125,2.649296875,1.6725,1.54484375,6.944375,13.077890625,21.6646875,4.100859375,2.449765625,3.499765625,2.512890625,2.8165625,2.946796875,1.93625,1.963984375,3.308203125,5.254140625,0.69328125,3.426640625,4.658203125,6.931484375,8.178046875,0.816484375,4.449921875,3.115390625,4.613046875,6.293984375,7.11015625,6.427421875,2.723046875,1.38734375,3.8459375,4.653828125,0.253671875,1.93171875,8.14234375,4.529453125,2.405,0.22671875,1.922734375,1.22828125,1.35203125,3.95625,3.2365625,0.404921875,4.398203125,4.890703125,0.191875,4.679140625,4.119140625,1.12875,4.135078125,3.8646875,6.910859375,6.456875,4.040625,0.65796875,1.22671875,2.82265625,0.074609375,4.6859375,8.89859375,7.680625,1.53265625,4.4175,7.489609375,3.627265625,26.319609375,5.041328125,22.421171875
9,13.353515625,1.431875,4.159921875,25.963671875,2.497421875,3.84078125,0.790390625,0.788359375,3.41375,7.009375,15.2378125,26.8078125,7.0796875,2.219765625,3.54984375,1.28609375,1.117734375,1.17390625,0.510859375,2.243515625,4.246484375,6.466484375,3.155625,0.389140625,2.0565625,1.279765625,0.553671875,2.060625,5.769765625,6.924765625,0.663046875,0.391328125,3.409609375,3.706796875,0.776015625,6.673515625,4.1690625,1.6221875,1.3840625,0.93265625,1.9340625,2.217421875,4.32015625,3.149296875,1.5903125,0.259765625,0.363046875,2.251796875,0.784921875,0.906171875,1.20953125,2.381796875,3.79578125,8.1275,5.791953125,0.481875,2.0121875,0.410390625,3.01375,3.0996875,1.18765625,2.04359375,1.402578125,1.19859375,1.222421875,6.694140625,10.9734375,8.229921875,0.65328125,1.350390625,0.2265625,0.60609375,17.420546875,23.49390625,24.16453125
10,13.302890625,5.91703125,5.793828125,10.186484375,11.584765625,12.301796875,0.6728125,0.48953125,3.688828125,8.743515625,16.32296875,25.828828125,6.698203125,0.448984375,1.713984375,2.988359375,1.735546875,0.0346875,1.45515625,3.41609375,4.0071875,4.637578125,2.01109375,0.845859375,3.50265625,0.42234375,0.6759375,0.407421875,3.391015625,4.97765625,2.16984375,2.580078125,4.478125,3.388984375,0.566640625,4.25984375,2.3009375,0.404296875,1.5978125,2.0025,2.56875,3.096875,4.508359375,3.52296875,1.224921875,0.974921875,0.827421875,1.250390625,0.67453125,0.195390625,1.36875,3.3015625,2.69546875,7.646328125,5.296015625,0.070859375,0.579453125,1.25375,4.477109375,6.968046875,3.143515625,0.29453125,0.2703125,1.873984375,0.814453125,6.030078125,10.122265625,8.59140625,1.2971875,1.4215625,1.076484375,1.8553125,24.640234375,11.176015625,25.041875
